address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Sprengerstraat 28,,,Boskoop,2771 HW,,850000,house,6,,,https://www.funda.nl/koop/boskoop/huis-86210009-sprengerstraat-28/,1960
Prinses Irenelaan 64,,,Alphen-aan-den-Rijn,2404 BJ,,165000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40806786-prinses-irenelaan-64/,1965
Hooftstraat 136 a,,,Alphen-aan-den-Rijn,2406 GN,,450000,house,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86897189-hooftstraat-136-a/,1921
Ridder van Montfoortlaan 9,,,Hazerswoude,2391 BW,,785000,house,8,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-85705918-ridder-van-montfoortlaan-9/,1983
Weegbreestraat 54,,,Alphen-aan-den-Rijn,2403 VS,,275000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86262242-weegbreestraat-54/,1969
Amalia van Solmslaan 7 A,,,Hazerswoude,2391 DD,,950000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-49887254-amalia-van-solmslaan-7-a/,2008
Prins Hendrikstraat 174 a,,,Alphen-aan-den-Rijn,2405 AN,,375000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40424302-prins-hendrikstraat-174-a/,2003
Roemer 37,,,Hazerswoude,2391 NP,,975000,house,11,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-40552731-roemer-37/,1994
Kotter 6,,,Alphen-aan-den-Rijn,2401 MV,,550000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40876097-kotter-6/,1988
Ruisdaelstraat 19,,,Alphen-aan-den-Rijn,2406 TB,,175000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86243034-ruisdaelstraat-19/,1930
Prinses Marijkestraat 17,,,Koudekerk-aan-den-Rijn,2396 XA,,245000,house,5,,,https://www.funda.nl/koop/koudekerk-aan-den-rijn/huis-40819822-prinses-marijkestraat-17/,1968
Bezembinder 56,,,Alphen-aan-den-Rijn,2401 HM,,210000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40897887-bezembinder-56/,1988
Prinses Irenelaan 26,,,Alphen-aan-den-Rijn,2404 BH,,159500,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40811825-prinses-irenelaan-26/,1965
Kotter 14,,,Alphen-aan-den-Rijn,2401 MV,,550000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40601318-kotter-14/,1988
Herman Heyermansstraat 15,,,Hazerswoude,2394 VR,,275000,house,4,,,https://www.funda.nl/koop/hazerswoude-rijndijk/huis-40812398-herman-heyermansstraat-15/,1969
Dorpsstraat 5,,,Aarlanderveen,2445 AJ,,895000,house,7,,,https://www.funda.nl/koop/aarlanderveen/huis-40718438-dorpsstraat-5/,1800
Raadhuisstraat 205,,,Alphen-aan-den-Rijn,2406 AC,,575000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40854596-raadhuisstraat-205/,1980
Vroonhoevelaan 3,,,Alphen-aan-den-Rijn,2408 SR,,535000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86904884-vroonhoevelaan-3/,2005
Raadhuisstraat 195 D,,,Alphen-aan-den-Rijn,2406 AC,,540000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40714034-raadhuisstraat-195-d/,2006
Lokhorst 24,,,Alphen-aan-den-Rijn,2402 PN,,400000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40530277-lokhorst-24/,1984
Wikkestraat 5,,,Alphen-aan-den-Rijn,2403 EP,,289500,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40809640-wikkestraat-5/,1969
Plutostraat 318,,,Alphen-aan-den-Rijn,2402 XK,,165000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40825215-plutostraat-318/,1966
Dorpsstraat 17,,,Benthuizen,2731 AL,,650000,house,8,,,https://www.funda.nl/koop/benthuizen/huis-40866485-dorpsstraat-17/,1934
Morgen 51,,,Alphen-aan-den-Rijn,2408 RK,,465000,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40814605-morgen-51/,1999
Dorpsstraat 21,,,Aarlanderveen,2445 AJ,,700000,house,6,,,https://www.funda.nl/koop/aarlanderveen/huis-40529344-dorpsstraat-21/,1893
Wilhelminalaan 58 b,,,Alphen-aan-den-Rijn,2405 EE,,400000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40636532-wilhelminalaan-58-b/,1994
Jaagpad 10,,,Hazerswoude,2394 CN,,600000,house,5,,,https://www.funda.nl/koop/hazerswoude-rijndijk/huis-86867668-jaagpad-10/,1985
Fideliohof 48 - 50,,,Alphen-aan-den-Rijn,2402 ET,,539500,house,10,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40805938-fideliohof-48-50/,1973
Middelweg 2 a,,,Hazerswoude,2391 NS,,989000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-49246488-middelweg-2-a/,1971
Dorpsstraat 71 D,,,Hazerswoude,2391 BC,,285000,apartment,3,,,https://www.funda.nl/koop/hazerswoude-dorp/appartement-40423118-dorpsstraat-71-d/,2003
