address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Hoofdstraat 15,,,Gasselternijveen,9514 BA,,349000,house,6,,,https://www.funda.nl/koop/gasselternijveen/huis-40714155-hoofdstraat-15/,1987
Hoofdstraat 92,,,Gasselternijveen,9514 BH,,314500,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40858901-hoofdstraat-92/,1915
Keukenhof 28,,,Eext,9463 RD,,215000,house,5,,,https://www.funda.nl/koop/eext/huis-40868915-keukenhof-28/,1958
Randweg 14,,,Schipborg,9469 PK,,599000,house,7,,,https://www.funda.nl/koop/schipborg/huis-40889475-randweg-14/,1906
Kromveen 18,,,Eext,9463 PM,,147500,house,5,,,https://www.funda.nl/koop/eext/huis-40855994-kromveen-18/,1966
Broek 14,,,Gieterveen,9511 PT,,357500,house,5,,,https://www.funda.nl/koop/gieterveen/huis-49724298-broek-14/,1956
de Zaalsteden 12,,,Gieten,9461 CT,,425000,house,5,,,https://www.funda.nl/koop/gieten/huis-49804604-de-zaalsteden-12/,1970
Vaart 167,,,Gasselternijveen,9514 AD,,179000,house,6,,,https://www.funda.nl/koop/gasselternijveen/huis-49973760-vaart-167/,1920
Parallelweg 22,,,Gasselternijveen,9514 CH,,157500,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-49107462-parallelweg-22/,2012
Hoofdstraat 58,,,Gasselternijveen,9514 BG,,375000,house,21,,,https://www.funda.nl/koop/gasselternijveen/huis-49270694-hoofdstraat-58/,1911
Dorpsstraat 43,,,Eexterveen,9658 PH,,349000,house,9,,,https://www.funda.nl/koop/eexterveen/huis-49310900-dorpsstraat-43/,1926
Vaart 123,,,Gasselternijveen,9514 AC,,107500,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40599099-vaart-123/,1920
Gagels 1,,,Gasteren,9466 PJ,,849000,house,7,,,https://www.funda.nl/koop/gasteren/huis-40693938-gagels-1/,1860
Noordzijde 79,,,Gasselternijveenschemond,9515 PC,,199500,house,5,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40719518-noordzijde-79/,1939
Greveling 89 A,,,Annerveenschekanaal,9654 PN,,194500,house,5,,,https://www.funda.nl/koop/annerveenschekanaal/huis-86189551-greveling-89-a/,1998
Stationsstraat 12,,,Eext,9463 RM,,325000,house,7,,,https://www.funda.nl/koop/eext/huis-86210002-stationsstraat-12/,1953
Rijnskamp 10,,,Rolde,9451 CC,,179500,house,4,,,https://www.funda.nl/koop/rolde/huis-40884831-rijnskamp-10/,1960
Esakkers 15,,,Annen,9468 BC,,194500,house,4,,,https://www.funda.nl/koop/annen/huis-86248510-esakkers-15/,1966
Gasselterboerveenschemond 20,,,Gasselternijveenschemond,9515 PN,,297500,house,6,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40884073-gasselterboerveenschemond-20/,1952
de Trog 24,,,Gieten,9461 DC,,325000,apartment,3,,,https://www.funda.nl/koop/gieten/appartement-40815541-de-trog-24/,2004
Eexterweg 25,,,Gieten,9461 BB,,315000,house,5,,,https://www.funda.nl/koop/gieten/huis-40869149-eexterweg-25/,1973
Zandvoort 21,,,Gieten,9461 TA,,329000,house,6,,,https://www.funda.nl/koop/gieten/huis-49422550-zandvoort-21/,1973
